conceptid,Preflabel,Altlabels,ParentConceptid,ConceptType,Provider
INFO_CARRIER:1,Photograph,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CVAST
INFO_CARRIER:2,JPEG,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:3,GIF,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:4,PNG,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:5,TIFF,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:6,SVG,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:7,RAW,,INFO_CARRIER:1,Index,CVAST
INFO_CARRIER:8,Point cloud,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CVAST
INFO_CARRIER:9,LAS,,INFO_CARRIER:8,Index,CVAST
INFO_CARRIER:10,XYZ,,INFO_CARRIER:8,Index,CVAST
INFO_CARRIER:11,3D mesh,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CVAST
INFO_CARRIER:12,PLY,,INFO_CARRIER:11,Index,CVAST
INFO_CARRIER:13,Text,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CVAST
INFO_CARRIER:14,PDF,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:15,TXT,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:16,RDF,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:17,XML,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:18,HTML,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:19,CSV,,INFO_CARRIER:13,Index,CVAST
INFO_CARRIER:20,Video,,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CVAST
INFO_CARRIER:21,MP4,,INFO_CARRIER:20,Index,CVAST
INFO_CARRIER:22,AVI,,INFO_CARRIER:20,Index,CVAST
INFO_CARRIER:23,MOV,,INFO_CARRIER:20,Index,CVAST
