conceptid,Value,Valuetype,Provider 
INFO_CARRIER:1,1,sortorder,CVAST
INFO_CARRIER:2,2,sortorder,CVAST
INFO_CARRIER:2,Y,ViewableInBrowser,CVAST
INFO_CARRIER:3,3,sortorder,CVAST
INFO_CARRIER:3,Y,ViewableInBrowser,CVAST
INFO_CARRIER:4,4,sortorder,CVAST
INFO_CARRIER:4,Y,ViewableInBrowser,CVAST
INFO_CARRIER:5,5,sortorder,CVAST
INFO_CARRIER:6,6,sortorder,CVAST
INFO_CARRIER:7,7,sortorder,CVAST
INFO_CARRIER:8,8,sortorder,CVAST
INFO_CARRIER:9,9,sortorder,CVAST
INFO_CARRIER:10,10,sortorder,CVAST
INFO_CARRIER:11,11,sortorder,CVAST
INFO_CARRIER:12,12,sortorder,CVAST
INFO_CARRIER:13,13,sortorder,CVAST
INFO_CARRIER:14,14,sortorder,CVAST
INFO_CARRIER:15,15,sortorder,CVAST
INFO_CARRIER:16,16,sortorder,CVAST
INFO_CARRIER:17,17,sortorder,CVAST
INFO_CARRIER:18,18,sortorder,CVAST
INFO_CARRIER:19,19,sortorder,CVAST
INFO_CARRIER:20,20,sortorder,CVAST
INFO_CARRIER:21,21,sortorder,CVAST
INFO_CARRIER:22,22,sortorder,CVAST
INFO_CARRIER:23,23,sortorder,CVAST
